#Supplementary Table 1 Summary of protein groups measured in at least one sample of the Genes & Health cohort
#.ref - indicates protein and precursor (pre.) data obtained including all possible peptides; .mac5 - excluding variant peptides with evidence that respective protein altering variants exist in the Genes & Health population down to a minor allele count (MAC) of 5; sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Olink ID - best correlating olink target; spear.olink = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
prot.id,protein_group_id,uniprotswissprot,chromosome,start_position,end_position,ensembl_gene_id,hgnc_symbol,num.pre.well1.ref,num.pre.well2.ref,missing.per.ref,mean.l2.ref,sd.l2.ref,num.pre.well1.mac5,num.pre.well2.mac5,cv.mac5,mean.cv.mac5,sd.cv.mac5,n.mac5,missing.per.mac5,mean.l2.mac5,sd.l2.mac5,median.l2.mac5,min.l2.mac5,max.l2.mac5,p.dip.mac5,faction.outlier.mac5,cis.pQTL,med.pred,p25.pred,p75.pred,Olink ID,spear.olink,SomaLogic ID,spear.soma,correlation.cluster,cell type contamination marker
prot.2443,P30154,P30154,11,111726908,111766389,ENSG00000137713,PPP2R1B,29,31,0.97,12.19,0.60,27,29,42.39,11.92,0.64,22.00,0.97,12.20,0.60,12.19,9.54,15.75,1.00,0.01,FALSE,0.23,0.22,0.25,,,,,,
prot.2444,P30203;P30203-4;P30203-5,P30203,11,60971680,61020377,ENSG00000013725,CD6,2,2,54.56,10.61,0.74,2,2,39.89,10.41,0.64,13.00,54.56,10.61,0.74,10.64,7.66,14.52,0.97,0.00,FALSE,0.16,0.16,0.17,CD6_43495,0.22,seq.20519.7,-0.10,,
prot.2445,P30260;P30260-2,P30260,17,47117703,47189422,ENSG00000004897,CDC27,14,14,4.04,12.30,0.48,14,14,27.53,12.29,0.40,22.00,4.04,12.30,0.48,12.35,10.00,13.74,1.00,0.00,FALSE,0.20,0.20,0.21,CDC27_42248,0.19,seq.35434.6,0.05,,
prot.2446,P30273,P30273,1,161215234,161220699,ENSG00000158869,FCER1G,4,4,0.00,17.38,0.59,4,4,22.84,17.04,0.30,22.00,0.00,17.38,0.59,17.41,13.94,19.49,0.98,0.01,FALSE,0.03,0.02,0.04,,,seq.34598.20,-0.18,1,
prot.2447,P30281,P30281,6,41934934,42050357,ENSG00000112576,CCND3,4,4,4.66,12.82,0.55,2,2,36.30,11.59,0.55,14.00,21.99,11.89,0.66,11.94,8.08,13.53,0.99,0.00,FALSE,0.13,0.13,0.14,,,seq.34499.6,0.10,,
prot.2448,P30405,P30405,10,79347469,79355334,ENSG00000108179,PPIF,19,19,0.00,15.97,0.72,19,19,21.50,15.86,0.30,22.00,0.00,15.97,0.72,16.02,11.55,18.61,0.99,0.01,FALSE,0.61,0.61,0.62,PPIF_45232,0.03,seq.8095.213,0.67,1,
prot.2449,P30519,P30519,16,4474690,4510347,ENSG00000103415,HMOX2,14,14,1.81,12.71,0.53,14,14,17.38,12.46,0.25,22.00,1.81,12.71,0.53,12.73,9.57,14.71,0.99,0.00,FALSE,0.23,0.23,0.24,HMOX2_43809,0.19,seq.2622.18,0.12,,
prot.245,A0A2U3TZR0;Q9UBP0;Q9UBP0-3,Q9UBP0,2,32063556,32157637,ENSG00000021574,SPAST,25,25,0.35,13.02,0.50,25,25,17.08,12.88,0.25,22.00,0.35,13.02,0.50,13.06,10.45,15.45,0.99,0.01,FALSE,0.36,0.35,0.38,SPAST_43120,0.53,seq.10870.32,0.76,1,
prot.2450,P30520,P30520,1,244408494,244451909,ENSG00000035687,ADSS2,10,10,1.18,12.82,0.48,10,10,22.88,12.73,0.32,22.00,1.18,12.82,0.48,12.84,9.79,14.46,0.99,0.00,FALSE,0.18,0.18,0.19,,,seq.12644.63,0.06,,
prot.2451,P30530;P30530-2,P30530,19,41219223,41261766,ENSG00000167601,AXL,6,7,0.56,13.12,0.48,5,6,23.86,12.96,0.38,22.00,1.53,13.19,0.52,13.20,10.91,14.77,0.99,0.00,FALSE,0.24,0.24,0.25,AXL_45316,0.24,seq.34612.77,0.12,,
prot.2452,P30533,P30533,4,3503612,3532446,ENSG00000163956,LRPAP1,6,6,8.14,12.42,0.44,6,6,24.62,12.40,0.41,22.00,8.14,12.42,0.44,12.43,10.41,14.76,1.00,0.01,FALSE,0.25,0.25,0.25,LRPAP1_44758,0.28,seq.3640.14,0.27,,
prot.2453,P30536,P30536,22,43151547,43163242,ENSG00000100300,TSPO,8,8,0.07,14.95,0.62,5,5,19.40,14.10,0.31,22.00,1.67,14.34,0.58,14.36,11.04,16.81,0.96,0.00,FALSE,0.25,0.24,0.25,,,,,,
prot.2454,P30613,P30613,1,155289293,155301438,ENSG00000143627,PKLR,42,42,0.28,13.10,0.48,41,41,19.69,13.15,0.30,22.00,0.28,13.09,0.48,13.08,11.10,15.54,0.99,0.01,FALSE,0.39,0.38,0.39,PKLR_44850,0.40,seq.11203.97,0.37,,
prot.2455,P30622-2,P30622,12,122271432,122422669,ENSG00000130779,CLIP1,69,69,0.49,13.29,0.70,66,66,16.14,13.55,0.24,22.00,0.49,13.34,0.68,13.40,9.97,15.28,0.99,0.01,TRUE,0.39,0.38,0.39,,,,,,
prot.2456,P30740,P30740,6,2832332,2841959,ENSG00000021355,SERPINB1,36,36,0.00,15.08,0.63,36,36,17.97,15.16,0.24,22.00,0.00,15.08,0.63,15.11,11.17,17.32,1.00,0.01,FALSE,0.53,0.53,0.54,SERPINB1_45255,0.54,seq.10737.96,0.30,1,
prot.2457,P30825,P30825,13,29509414,29595688,ENSG00000139514,SLC7A1,6,6,0.63,13.24,0.49,6,6,14.67,13.05,0.20,22.00,0.63,13.24,0.49,13.25,11.56,14.86,0.99,0.00,FALSE,0.14,0.13,0.15,,,seq.28602.21,0.02,,
prot.2458,P30837,P30837,9,38392702,38398661,ENSG00000137124,ALDH1B1,13,13,12.73,12.51,0.74,7,7,31.23,12.06,0.55,20.00,20.67,12.48,0.71,12.51,8.86,15.62,0.99,0.00,TRUE,0.09,0.09,0.10,,,seq.22057.9,-0.02,,
prot.2459,P30838,P30838,17,19737984,19748943,ENSG00000108602,ALDH3A1,9,9,89.77,12.82,0.95,8,8,NA,11.76,NA,1.00,90.68,12.70,0.91,12.60,9.53,15.52,0.20,0.00,FALSE,NA,NA,NA,ALDH3A1_43355,0.02,seq.11480.1,-0.06,,
prot.246,A0A2U3TZU2,P06744,19,34359480,34402413,ENSG00000105220,GPI,37,36,0.00,14.69,0.66,33,32,15.37,14.56,0.22,22.00,0.00,14.69,0.65,14.73,11.38,16.88,0.79,0.01,FALSE,0.48,0.47,0.48,,,,,1,
prot.2460,P30990,P30990,12,85874295,85882992,ENSG00000133636,NTS,3,3,0.00,15.63,0.68,3,3,18.27,16.09,0.25,22.00,0.00,15.63,0.68,15.70,12.94,17.72,0.99,0.00,FALSE,0.59,0.58,0.60,,,seq.7857.22,0.83,,
prot.2461,P31040,P31040,5,218303,257082,ENSG00000073578,SDHA,44,44,0.00,14.35,0.62,38,38,22.30,14.13,0.30,22.00,0.00,14.33,0.62,14.36,10.03,16.59,0.99,0.01,FALSE,0.26,0.26,0.28,SDHA_41771,0.02,,,1,
prot.2462,P31146,P31146,16,30182827,30189076,ENSG00000102879,CORO1A,35,35,0.00,16.07,0.46,35,35,15.22,15.86,0.21,22.00,0.00,16.07,0.46,16.07,14.14,18.17,0.99,0.01,FALSE,0.55,0.55,0.56,CORO1A_45087,0.60,seq.31924.38,0.04,1,
prot.2463,P31150,P31150,X,154436913,154443467,ENSG00000203879,GDI1,29,29,0.00,14.66,0.55,29,29,11.60,14.56,0.17,22.00,0.00,14.66,0.55,14.69,11.48,16.26,1.00,0.01,FALSE,0.39,0.38,0.40,,,seq.16810.3,0.32,1,
prot.2464,P31153,P31153,2,85539168,85545281,ENSG00000168906,MAT2A,10,10,1.67,12.94,0.55,10,10,21.67,12.84,0.33,22.00,1.67,12.94,0.55,12.96,10.14,15.52,0.70,0.00,FALSE,0.15,0.14,0.15,,,seq.19788.6,0.00,,
prot.2465,P31321,P31321,7,549197,727650,ENSG00000188191,PRKAR1B,8,8,1.04,13.09,0.54,8,8,19.84,12.80,0.29,22.00,1.04,13.09,0.54,13.12,10.44,14.85,0.99,0.00,FALSE,0.28,0.28,0.29,PRKAR1B_42942,0.00,seq.12479.50,0.24,,
prot.2466,P31323,P31323,7,107044705,107161811,ENSG00000005249,PRKAR2B,35,35,0.00,14.86,0.65,35,35,22.42,15.15,0.29,22.00,0.00,14.86,0.65,14.90,11.07,17.86,1.00,0.01,FALSE,0.62,0.61,0.62,,,seq.25463.3,0.77,1,
prot.2467,P31327;P31327-3,P31327,2,210477682,210679107,ENSG00000021826,CPS1,66,66,2.23,13.05,0.92,63,63,21.89,14.16,0.32,22.00,2.37,13.05,0.92,12.98,9.70,17.67,1.00,0.01,FALSE,0.35,0.34,0.36,,,seq.32963.34,0.29,,
prot.2468,P31415,P31415,1,160190575,160201886,ENSG00000143318,CASQ1,2,2,16.08,13.00,0.53,1,1,39.07,11.80,0.60,10.00,59.01,12.21,0.61,12.23,10.52,14.49,0.72,0.00,FALSE,0.07,0.07,0.08,,,seq.11263.57,-0.04,,
prot.2469,P31431,P31431,20,45325288,45348424,ENSG00000124145,SDC4,8,8,0.00,13.86,0.55,7,7,13.94,14.54,0.21,22.00,0.00,13.88,0.55,13.92,10.72,15.85,0.98,0.00,FALSE,0.57,0.55,0.58,SDC4_44915,0.81,,,,
prot.247,A0A2Y9D025,P56556,22,42085526,42090884,ENSG00000184983,NDUFA6,12,12,0.49,13.50,0.61,11,11,31.93,13.41,0.42,22.00,0.49,13.64,0.61,13.68,8.34,15.61,0.99,0.01,FALSE,0.29,0.28,0.30,,,,,1,
prot.2470,P31645,P31645,17,30194319,30236002,ENSG00000108576,SLC6A4,13,13,0.07,14.01,0.53,13,13,19.83,13.88,0.28,22.00,0.07,14.01,0.53,14.04,10.72,16.05,0.99,0.01,FALSE,0.25,0.25,0.26,,,seq.30299.22,0.23,1,
prot.2471,P31689,P31689,9,33025273,33039907,ENSG00000086061,DNAJA1,25,25,0.00,14.17,0.48,25,25,18.98,13.96,0.26,22.00,0.00,14.17,0.48,14.19,11.83,16.29,0.97,0.01,FALSE,0.47,0.47,0.48,DNAJA1_42380,0.02,seq.29815.3,0.48,1,
prot.2472,P31749,P31749,14,104769349,104795759,ENSG00000142208,AKT1,17,17,0.21,13.13,0.46,17,17,18.52,13.08,0.26,22.00,0.21,13.13,0.46,13.15,9.89,15.15,0.55,0.01,FALSE,0.55,0.54,0.55,,,seq.2867.52,0.73,1,
prot.2473,P31751,P31751,19,40230317,40285536,ENSG00000105221,AKT2,27,27,0.00,13.56,0.51,27,27,16.81,13.37,0.24,22.00,0.00,13.56,0.51,13.58,10.09,15.94,0.89,0.01,FALSE,0.58,0.58,0.60,AKT2_43353,0.61,seq.5360.9,0.71,1,
prot.2474,P31930,P31930,3,48599002,48610976,ENSG00000010256,UQCRC1,27,27,0.00,14.75,0.63,22,22,22.79,14.35,0.31,22.00,0.00,14.50,0.63,14.53,10.66,16.91,0.99,0.01,FALSE,0.25,0.24,0.26,,,seq.27984.22,0.07,1,
prot.2475,P31937,P31937,7,27525442,27662883,ENSG00000106049,HIBADH,17,17,0.14,13.63,0.57,17,17,24.90,13.42,0.35,22.00,0.14,13.63,0.57,13.64,10.57,15.63,1.00,0.01,FALSE,0.15,0.15,0.16,,,seq.4693.72,-0.04,1,
prot.2476,P31939,P31939,2,215311956,215349773,ENSG00000138363,ATIC,40,38,0.00,13.62,0.55,35,34,13.71,13.50,0.19,22.00,0.00,13.61,0.56,13.64,10.01,15.16,0.99,0.01,FALSE,0.45,0.44,0.46,,,seq.23666.35,0.54,1,
prot.2477,P31942;P31942-2,P31942,10,68331174,68343193,ENSG00000096746,HNRNPH3,11,12,0.00,12.73,0.44,10,11,20.88,12.61,0.30,22.00,0.00,12.75,0.45,12.77,10.92,14.38,0.73,0.00,FALSE,0.35,0.34,0.37,,,,,,
prot.2478,P31944,P31944,19,15049480,15058293,ENSG00000105141,CASP14,23,23,62.63,12.91,1.43,19,19,114.57,12.64,1.24,8.00,63.19,12.87,1.41,12.84,9.00,19.11,0.47,0.01,FALSE,0.07,0.06,0.07,,,seq.16617.14,0.00,,
prot.2479,P31946,P31946,20,44885702,44908532,ENSG00000166913,YWHAB,9,9,0.00,15.87,0.54,9,9,17.06,15.74,0.23,22.00,0.00,15.87,0.54,15.89,12.86,17.55,1.00,0.01,TRUE,0.57,0.57,0.58,,,seq.14156.33,0.70,1,
prot.248,A0A384DVU0;Q8IY17,Q8IY17,19,7534004,7561764,ENSG00000032444,PNPLA6,46,46,0.07,12.93,0.49,43,43,16.97,12.78,0.24,22.00,0.07,12.90,0.50,12.93,9.23,14.79,1.00,0.01,FALSE,0.29,0.28,0.29,,,seq.29149.218,0.03,1,
prot.2480,P31947,P31947,1,26863149,26864456,ENSG00000175793,SFN,21,19,0.00,15.32,0.58,21,19,24.59,15.07,0.35,22.00,0.00,15.32,0.58,15.37,10.96,17.12,1.00,0.01,FALSE,0.18,0.17,0.19,,,seq.4829.43,-0.03,1,
prot.2481,P31948-2,P31948,11,64185272,64204543,ENSG00000168439,STIP1,59,58,0.00,14.85,0.43,59,58,15.52,14.79,0.21,22.00,0.00,14.85,0.43,14.85,12.56,16.85,0.95,0.01,FALSE,0.61,0.61,0.62,STIP1_45271,0.54,seq.5489.18,0.73,1,
prot.2482,P31949,P31949,1,152032506,152047907,ENSG00000163191,S100A11,8,8,0.00,13.25,0.43,5,5,23.49,13.15,0.35,22.00,0.21,13.09,0.44,13.09,11.62,16.39,0.97,0.01,FALSE,0.36,0.35,0.37,S100A11_44904,0.35,seq.14011.17,0.16,,
prot.2483,P31994;P31994-3,P31994,1,161663143,161678654,ENSG00000072694,FCGR2B,5,5,20.88,12.04,0.63,4,4,37.51,11.83,0.56,18.00,24.77,11.85,0.65,11.88,9.45,15.18,0.99,0.00,FALSE,0.08,0.08,0.08,FCGR2B_42448,0.04,seq.22960.8,0.00,,
prot.2484,P31997,P31997,19,42580243,42595055,ENSG00000124469,CEACAM8,9,9,3.48,13.76,0.48,8,8,27.81,13.61,0.52,22.00,3.55,13.77,0.48,13.77,11.59,16.41,0.99,0.01,FALSE,0.15,0.15,0.16,CEACAM8_43515,0.10,seq.18873.8,0.04,,
prot.2485,P32019,P32019,1,37860697,37947053,ENSG00000204084,INPP5B,44,44,0.00,13.45,0.55,41,41,17.56,13.33,0.24,22.00,0.07,13.39,0.55,13.42,9.77,15.49,0.90,0.01,FALSE,0.54,0.53,0.54,,,seq.12641.3,0.71,1,
prot.2486,P32119,P32119,19,12796820,12801800,ENSG00000167815,PRDX2,29,29,0.00,14.54,0.45,26,26,21.15,14.50,0.28,22.00,0.00,14.67,0.44,14.64,13.09,17.23,0.98,0.01,FALSE,0.56,0.56,0.57,PRDX2_45400,0.69,,,,RBC
prot.2487,P32121;P32121-4,P32121,17,4710596,4721499,ENSG00000141480,ARRB2,25,24,0.28,12.63,0.39,25,24,22.61,12.33,0.30,22.00,0.28,12.63,0.39,12.65,10.93,14.43,1.00,0.00,FALSE,0.46,0.45,0.46,,,seq.27066.24,0.53,,
prot.2488,P32189-1;P32189-4,P32189,X,30653359,30731462,ENSG00000198814,GK,27,27,0.07,14.06,0.57,12,12,15.69,13.71,0.22,22.00,0.28,13.88,0.58,13.91,8.32,16.17,0.99,0.01,FALSE,0.45,0.45,0.46,,,seq.32895.8,0.53,1,
prot.2489,P32320,P32320,1,20589086,20618903,ENSG00000158825,CDA,2,2,60.54,13.16,0.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,CDA_44522,,seq.18336.31,,,
prot.249,A0A384ME17,,,,,,,48,48,0.00,14.78,0.66,44,44,23.37,14.50,0.31,22.00,0.00,14.72,0.69,14.75,10.21,17.15,0.91,0.01,FALSE,0.41,0.40,0.41,,,,,1,
prot.2490,P32321-2,P32321,4,182890060,182917936,ENSG00000129187,DCTD,15,15,0.97,13.15,0.53,15,15,17.95,13.05,0.26,22.00,0.97,13.15,0.53,13.18,10.06,14.83,0.96,0.01,FALSE,0.44,0.44,0.45,DCTD_44595,0.51,seq.17756.69,0.58,,
prot.2491,P32455,P32455,1,89051882,89065360,ENSG00000117228,GBP1,9,9,77.94,11.18,0.73,8,8,4.05,10.39,0.06,2.00,79.96,11.10,0.76,11.11,7.63,14.53,0.99,0.01,FALSE,0.14,0.14,0.15,GBP1_44673,0.17,seq.15326.64,0.15,,
prot.2492,P32519-2,P32519,13,40931924,41061440,ENSG00000120690,ELF1,1,1,27.84,14.05,0.61,1,1,28.58,13.81,0.42,16.00,27.84,14.05,0.61,14.09,11.09,16.31,1.00,0.00,FALSE,0.08,0.08,0.09,,,,,,
prot.2493,P32929,P32929,1,70411218,70439851,ENSG00000116761,CTH,7,7,84.27,10.82,0.82,7,7,NA,10.41,NA,1.00,84.27,10.82,0.82,10.78,7.17,12.97,0.98,0.00,FALSE,NA,NA,NA,CTH_43577,0.08,seq.21599.6,0.06,,
prot.2494,P32942,P32942,19,10333776,10339661,ENSG00000076662,ICAM3,12,12,0.00,12.93,0.45,9,9,13.66,13.09,0.20,22.00,0.00,12.87,0.47,12.88,11.17,14.82,0.99,0.00,FALSE,0.28,0.27,0.29,ICAM3_45147,0.22,seq.2649.77,0.06,,
prot.2495,P32969,P32969,4,39452587,39458931,ENSG00000163682,RPL9,9,9,0.28,12.62,0.51,9,9,27.58,12.46,0.39,22.00,0.28,12.62,0.51,12.60,10.83,15.56,0.99,0.00,FALSE,0.29,0.28,0.30,,,,,,
prot.2496,P33121,P33121,4,184755595,184826818,ENSG00000151726,ACSL1,28,28,0.14,13.38,0.55,26,26,19.31,13.16,0.27,22.00,0.14,13.33,0.55,13.34,10.35,15.47,0.99,0.01,FALSE,0.15,0.14,0.16,ACSL1_42085,0.02,,,,
prot.2497,P33151,P33151,16,66366690,66404784,ENSG00000179776,CDH5,34,35,0.00,14.81,0.44,33,34,9.32,14.82,0.13,22.00,0.00,14.88,0.44,14.88,13.08,16.91,0.99,0.00,FALSE,0.53,0.53,0.54,CDH5_45064,0.49,seq.2819.23,0.67,,
prot.2498,P33176,P33176,10,32009015,32056425,ENSG00000170759,KIF5B,79,78,0.00,14.17,0.55,78,77,17.07,14.08,0.24,22.00,0.00,14.17,0.55,14.20,10.28,16.21,0.99,0.01,FALSE,0.47,0.46,0.48,,,,,1,
prot.2499,P33241-3,P33241,11,1850904,1892267,ENSG00000130592,LSP1,16,16,0.07,12.78,0.41,15,15,15.23,12.98,0.22,22.00,0.07,12.76,0.41,12.75,11.22,14.46,1.00,0.00,FALSE,0.50,0.49,0.50,LSP1_43939,0.58,seq.21533.51,0.56,,
prot.25,A0A087WT59;P02766,P02766,18,31557009,31598833,ENSG00000118271,TTR,21,21,0.00,16.68,0.33,21,21,15.58,17.21,0.22,22.00,0.00,16.68,0.33,16.69,15.39,17.93,0.99,0.00,FALSE,0.35,0.34,0.37,TTR_45501,0.00,,,,
prot.250,A0A3B3IRN8;A0A3B3ITX0;P24311,P24311,X,77899440,77907376,ENSG00000131174,COX7B,3,3,3.34,13.80,0.57,3,3,24.88,13.68,0.37,22.00,3.34,13.80,0.57,13.83,11.43,15.29,0.97,0.00,FALSE,0.19,0.18,0.19,,,,,,
prot.2500,P33316,P33316,15,48331011,48343373,ENSG00000128951,DUT,11,11,0.84,13.40,0.55,9,9,33.85,13.03,0.43,22.00,0.97,13.18,0.57,13.21,9.79,15.63,1.00,0.01,FALSE,0.46,0.45,0.46,DUT_43642,0.48,seq.9995.6,0.64,,
prot.2501,P33402;P33402-2,P33402,11,106674019,107018476,ENSG00000152402,GUCY1A2,1,1,0.42,15.43,0.39,1,1,15.95,15.45,0.25,22.00,0.42,15.43,0.39,15.41,13.97,16.74,0.78,0.00,FALSE,0.10,0.10,0.10,,,seq.32967.53,0.07,,
prot.2502,P33527,P33527,16,15949138,16143257,ENSG00000103222,ABCC1,71,69,0.00,13.32,0.50,61,59,18.29,13.09,0.26,22.00,0.00,13.22,0.46,13.22,10.44,14.98,0.98,0.01,FALSE,0.28,0.27,0.29,,,,,,
prot.2503,P33897,P33897,X,153724856,153744755,ENSG00000101986,ABCD1,16,14,1.32,12.79,0.54,16,14,27.39,12.68,0.39,22.00,1.32,12.79,0.54,12.82,9.94,14.69,0.90,0.01,FALSE,0.23,0.22,0.24,,,,,,
prot.2504,P33908,P33908,6,119177205,119349761,ENSG00000111885,MAN1A1,53,58,0.00,15.49,0.22,53,58,10.20,15.43,0.14,22.00,0.00,15.49,0.22,15.50,14.59,16.40,0.99,0.00,FALSE,0.19,0.18,0.19,,,seq.34622.86,-0.02,,
prot.2505,P33947,P33947,7,6445953,6484190,ENSG00000136240,KDELR2,5,5,0.84,13.79,0.60,5,5,27.42,13.38,0.46,22.00,0.84,13.79,0.60,13.83,10.79,15.92,0.99,0.01,FALSE,0.15,0.14,0.15,,,,,,
prot.2506,P33992,P33992,22,35400134,35425431,ENSG00000100297,MCM5,8,8,51.84,12.04,0.71,8,8,56.16,12.32,0.76,3.00,51.84,12.04,0.71,12.06,9.29,14.11,0.88,0.00,FALSE,0.11,0.11,0.11,,,,,,
prot.2507,P33993,P33993,7,100092233,100101940,ENSG00000166508,MCM7,4,4,62.77,13.35,0.63,3,3,28.31,13.54,0.43,11.00,63.19,13.39,0.61,13.43,9.50,15.02,0.76,0.01,FALSE,0.13,0.12,0.13,,,,,,
prot.2508,P34059,P34059,16,88813734,88856970,ENSG00000141012,GALNS,4,4,11.00,12.42,0.78,2,2,26.98,12.54,0.41,17.00,14.13,13.02,0.81,12.99,10.48,15.88,0.99,0.00,TRUE,0.37,0.36,0.37,,,seq.21724.22,0.45,,
prot.2509,P34096,P34096,14,20684560,20701216,ENSG00000258818,RNASE4,17,17,0.00,15.21,0.27,17,17,14.09,14.91,0.20,22.00,0.00,15.21,0.27,15.22,13.79,16.74,0.98,0.00,TRUE,0.47,0.47,0.47,RNASE4_45407,0.33,seq.5644.60,0.46,,
prot.251,A0A3B3IRT8,P43307,6,7268306,7347446,ENSG00000124783,SSR1,4,4,0.35,15.08,0.68,4,4,25.98,14.64,0.37,22.00,0.35,15.08,0.68,15.10,10.41,17.37,0.85,0.01,FALSE,0.21,0.19,0.22,,,,,1,
prot.2510,P34896-2,P34896,17,18327873,18363550,ENSG00000176974,SHMT1,22,22,0.00,13.33,0.75,19,19,16.77,13.40,0.24,22.00,0.00,13.40,0.76,13.43,10.57,16.09,0.96,0.00,TRUE,0.68,0.67,0.68,SHMT1_44930,0.83,seq.12334.25,0.75,,
prot.2511,P34897,P34897,12,57229573,57234935,ENSG00000182199,SHMT2,38,38,0.00,13.98,0.61,35,35,21.29,13.93,0.30,22.00,0.00,14.02,0.61,14.04,10.40,16.19,0.97,0.01,FALSE,0.55,0.55,0.56,SHMT2_44931,0.65,seq.12691.44,0.66,1,
prot.2512,P34910,P34910,17,31303770,31314105,ENSG00000185862,EVI2B,4,4,16.77,12.30,0.50,4,4,30.28,12.28,0.43,19.00,16.77,12.30,0.50,12.30,10.25,13.88,0.99,0.00,FALSE,0.05,0.05,0.06,EVI2B_42430,-0.02,,,,
prot.2513,P34913,P34913,8,27490781,27545564,ENSG00000120915,EPHX2,31,31,0.14,13.32,0.63,27,27,16.89,13.70,0.23,22.00,0.14,13.30,0.63,13.36,9.61,15.36,1.00,0.01,TRUE,0.40,0.39,0.41,EPHX2_42420,0.13,seq.21269.198,0.35,,
prot.2514,P34932,P34932,5,133052013,133106449,ENSG00000170606,HSPA4,70,69,0.00,13.70,0.45,65,64,14.03,13.52,0.20,22.00,0.00,13.67,0.45,13.68,11.71,15.38,0.71,0.00,FALSE,0.35,0.33,0.36,,,,,1,
prot.2515,P34947,P34947,10,119207571,119459745,ENSG00000198873,GRK5,29,29,0.21,13.32,0.58,24,24,15.68,13.38,0.21,22.00,0.21,13.46,0.59,13.51,9.78,15.69,0.99,0.01,TRUE,0.43,0.43,0.44,GRK5_42537,0.42,seq.21510.24,0.10,,
prot.2516,P34949,P34949,15,74890005,74902219,ENSG00000178802,MPI,18,18,0.49,12.55,0.42,17,17,18.34,12.36,0.26,22.00,0.56,12.41,0.43,12.43,10.87,14.09,1.00,0.00,TRUE,0.32,0.32,0.32,MPI_43984,-0.01,seq.25233.2,0.33,,
prot.2517,P35052,P35052,2,240435663,240468076,ENSG00000063660,GPC1,12,12,0.00,13.01,0.36,11,11,16.60,12.98,0.26,22.00,0.00,13.03,0.36,13.03,10.88,14.49,0.99,0.00,FALSE,0.33,0.33,0.34,GPC1_43773,0.31,seq.8697.38,0.23,,
prot.2518,P35212,P35212,1,34792999,34795747,ENSG00000187513,GJA4,3,3,24.08,12.89,0.68,3,3,34.92,12.68,0.53,19.00,24.08,12.89,0.68,12.93,10.15,14.84,0.98,0.00,TRUE,0.14,0.13,0.14,,,,,,
prot.2519,P35221,P35221,5,138610967,138935034,ENSG00000044115,CTNNA1,33,32,0.07,12.56,0.52,33,32,16.99,12.70,0.23,22.00,0.07,12.56,0.52,12.58,10.39,14.26,0.91,0.00,FALSE,0.57,0.57,0.58,CTNNA1_42335,-0.06,seq.24426.15,0.77,,
prot.252,A0A3B3IRX2;P14555,P14555,1,19975431,19980416,ENSG00000188257,PLA2G2A,7,7,0.00,15.65,0.76,7,7,17.93,15.45,0.25,22.00,0.00,15.65,0.76,15.58,13.42,19.21,0.99,0.00,TRUE,0.59,0.57,0.60,PLA2G2A_45225,0.89,seq.2692.74,0.86,,
prot.2520,P35232,P35232,17,49404049,49414905,ENSG00000167085,PHB1,22,22,0.00,15.26,0.66,22,22,24.20,15.01,0.33,22.00,0.00,15.26,0.66,15.29,11.01,17.73,0.99,0.01,FALSE,0.38,0.38,0.40,,,,,1,PBMCs
prot.2521,P35236;P35236-2,P35236,1,202147013,202161588,ENSG00000143851,PTPN7,16,16,0.21,13.37,0.49,14,14,11.99,13.32,0.17,22.00,0.21,13.53,0.49,13.56,10.63,15.28,1.00,0.01,FALSE,0.28,0.28,0.29,,,seq.14688.6,0.24,,
prot.2522,P35240,P35240,22,29603553,29698598,ENSG00000186575,NF2,14,14,0.84,12.39,0.49,14,14,13.46,12.19,0.20,22.00,0.84,12.39,0.49,12.42,9.35,14.04,0.99,0.01,FALSE,0.05,0.05,0.06,,,seq.33313.133,-0.18,,
prot.2523,P35241,P35241,11,109864295,110296712,ENSG00000137710,RDX,48,45,0.07,13.93,0.36,48,45,16.38,13.94,0.22,22.00,0.07,13.93,0.36,13.94,12.62,15.27,0.99,0.00,FALSE,0.51,0.51,0.52,,,seq.18373.13,0.60,,
prot.2524,P35247,P35247,10,79937467,79982614,ENSG00000133661,SFTPD,12,13,1.74,13.93,1.31,9,10,17.19,14.36,0.25,22.00,2.64,13.72,1.35,13.80,8.55,18.58,0.99,0.00,TRUE,0.71,0.70,0.71,SFTPD_44927,0.86,seq.19590.46,0.49,,
prot.2525,P35251;P35251-2,P35251,4,39287456,39366375,ENSG00000035928,RFC1,1,1,22.76,13.72,0.64,1,1,33.40,13.45,0.46,19.00,22.76,13.72,0.64,13.73,10.42,15.45,0.99,0.00,FALSE,0.06,0.05,0.06,RFC1_41714,0.02,,,,
prot.2526,P35268,P35268,1,6185020,6209389,ENSG00000116251,RPL22,2,2,0.00,14.70,0.48,2,2,17.08,15.33,0.25,22.00,0.00,14.70,0.48,14.67,12.86,17.33,0.99,0.01,FALSE,0.14,0.13,0.14,,,seq.34865.37,0.06,,
